4756344	111101
5004772	110111
21307196	101111
23487976	111110
25812568	111110
26420420	111011
34825664	111101
63219664	110111
88382688	11111
94289048	110111
97872716	11111
131422044	101111
139192520	111110
157715092	101111
164405308	101111
168535700	111110
178596608	110111
222452468	111011
235248200	11111
256175124	11111
272336292	111101
281741680	11111
302062120	111110
309875924	110111
324574400	111011
325995296	111011
330087456	111110
341377828	110111
348936084	101111
368548252	111101
381708544	111110
381979452	111011
397232092	111011
424052176	110111
427600920	111011
433559188	111110
440532676	101111
449013460	11111
475342144	110111
503832444	111101
526964048	111101
529354804	111011
531358416	111101
545937028	11111
550568564	111011
551475064	11111
559214412	111110
562455052	101111
577983324	11111
593963608	111011
604336120	11111
620113604	101111
620792812	110111
632732552	111011
635636936	11111
656479264	101111
672253212	11111
683820636	11111
694570836	111101
712280832	111110
714423448	101111
779990052	111011
811925396	111110
814443196	111110
822040568	11111
825717672	101111
836675460	111101
867886544	101111
870908396	111110
871926736	11111
875389140	110111
888037584	111110
